,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Vit_A_IU,-0.266,-0.227,-0.092,0.045,0.023,0.064,0.195,0.271,-0.084,-0.062,-0.196,-0.118,0.001,-0.287,-0.171,0.110,-0.233,0.356,-0.072,-0.010,-0.275,-0.181,-0.182,0.207,-0.099,0.224,0.207,-0.220,-0.138,1.000,0.171,0.477,0.733,0.340,0.200,0.512,0.315,-0.096,0.313,-0.131,-0.061,-0.120
Retinol_.µg.,0.468,0.487,0.598,0.418,-0.619,-0.718,-0.606,0.087,0.048,0.077,0.540,-0.086,0.648,0.340,-0.270,-0.505,0.653,-0.543,0.041,0.312,0.270,0.328,0.253,-0.270,-0.045,-0.264,-0.270,0.498,0.794,0.171,1.000,-0.310,-0.457,-0.171,-0.061,-0.408,0.236,0.739,-0.448,0.598,0.542,0.790
Alpha_Carot_.µg.,-0.369,-0.398,-0.298,-0.268,0.236,0.274,0.372,-0.031,-0.143,-0.107,-0.404,-0.123,-0.317,-0.366,-0.040,0.159,-0.419,0.520,-0.096,-0.181,-0.232,-0.267,-0.175,0.162,-0.038,0.170,0.162,-0.347,-0.385,0.477,-0.310,1.000,0.563,0.536,0.225,0.529,0.061,-0.375,0.234,-0.310,-0.299,-0.370
Beta_Carot_.µg.,-0.512,-0.531,-0.462,-0.210,0.431,0.510,0.581,0.201,-0.140,-0.165,-0.515,-0.092,-0.392,-0.469,-0.018,0.395,-0.626,0.635,-0.140,-0.197,-0.488,-0.386,-0.340,0.332,-0.071,0.345,0.332,-0.528,-0.640,0.733,-0.457,0.563,1.000,0.382,0.216,0.687,0.091,-0.580,0.582,-0.495,-0.402,-0.586
Beta_Crypt_.µg.,-0.202,-0.442,-0.171,-0.360,0.245,0.125,0.385,-0.159,-0.260,-0.325,-0.416,-0.299,-0.343,-0.413,-0.211,-0.038,-0.407,0.362,-0.174,-0.242,-0.363,-0.271,-0.260,0.043,-0.037,0.049,0.043,-0.354,-0.272,0.340,-0.171,0.536,0.382,1.000,0.234,0.464,0.034,-0.255,-0.010,-0.164,-0.228,-0.223
Lycopene_.µg.,-0.132,-0.193,-0.143,-0.177,0.083,0.014,0.156,-0.080,-0.141,-0.155,-0.155,-0.101,-0.105,-0.166,-0.092,-0.013,-0.130,0.184,-0.061,-0.134,-0.072,-0.108,-0.081,0.051,-0.013,0.054,0.051,-0.124,-0.084,0.200,-0.061,0.225,0.216,0.234,1.000,0.095,0.008,-0.134,-0.046,-0.073,-0.128,-0.084
Lut.Zea_..µg.,-0.480,-0.534,-0.382,-0.304,0.363,0.449,0.512,0.101,-0.123,-0.180,-0.490,-0.096,-0.422,-0.453,-0.085,0.312,-0.518,0.597,-0.155,-0.222,-0.448,-0.402,-0.305,0.258,-0.059,0.269,0.258,-0.471,-0.545,0.512,-0.408,0.529,0.687,0.464,0.095,1.000,0.097,-0.473,0.483,-0.412,-0.322,-0.498
Vit_E_.mg.,0.142,0.162,0.278,0.433,-0.135,-0.027,-0.223,0.205,0.202,0.274,0.259,0.250,0.258,0.126,0.171,0.101,0.186,-0.024,0.107,0.157,0.158,0.177,0.151,0.171,-0.079,0.184,0.170,0.259,0.160,0.315,0.236,0.061,0.091,0.034,0.008,0.097,1.000,0.079,0.195,0.221,0.320,0.176
Vit_D_IU,0.440,0.584,0.597,0.308,-0.727,-0.698,-0.652,-0.094,0.057,0.101,0.577,0.042,0.563,0.407,-0.262,-0.587,0.678,-0.656,0.171,0.383,0.475,0.392,0.349,-0.307,-0.047,-0.301,-0.307,0.565,0.782,-0.096,0.739,-0.375,-0.580,-0.255,-0.134,-0.473,0.079,1.000,-0.486,0.604,0.563,0.726
Vit_K_.µg.,-0.224,-0.165,-0.147,0.072,0.276,0.480,0.261,0.310,0.226,0.148,-0.190,0.142,-0.140,-0.038,0.212,0.470,-0.368,0.353,0.022,0.066,-0.186,-0.119,-0.080,0.409,-0.067,0.421,0.409,-0.185,-0.435,0.313,-0.448,0.234,0.582,-0.010,-0.046,0.483,0.195,-0.486,1.000,-0.212,-0.099,-0.375
FA_Mono_.g.,0.796,0.683,0.922,0.452,-0.465,-0.513,-0.522,0.046,0.298,0.250,0.649,0.126,0.523,0.618,0.026,-0.392,0.603,-0.658,0.264,0.534,0.557,0.551,0.398,-0.120,0.029,-0.126,-0.120,0.626,0.684,-0.131,0.598,-0.310,-0.495,-0.164,-0.073,-0.412,0.221,0.604,-0.212,1.000,0.835,0.740
FA_Poly_.g.,0.757,0.713,0.918,0.575,-0.390,-0.323,-0.512,0.142,0.455,0.402,0.720,0.271,0.510,0.673,0.187,-0.167,0.607,-0.582,0.412,0.612,0.610,0.595,0.467,0.045,-0.004,0.045,0.045,0.680,0.584,-0.061,0.542,-0.299,-0.402,-0.228,-0.128,-0.322,0.320,0.563,-0.099,0.835,1.000,0.622
Cholestrl_.mg.,0.588,0.634,0.735,0.395,-0.776,-0.834,-0.760,-0.029,0.172,0.096,0.601,-0.026,0.739,0.556,-0.138,-0.617,0.726,-0.684,0.109,0.450,0.469,0.447,0.367,-0.312,-0.052,-0.305,-0.312,0.681,0.915,-0.120,0.790,-0.370,-0.586,-0.223,-0.084,-0.498,0.176,0.726,-0.375,0.740,0.622,1.000
