"NDB_No","Shrt_Desc","Water_.g.","Energ_Kcal","Protein_.g.","Lipid_Tot_.g.","Ash_.g.","Carbohydrt_.g.","Fiber_TD_.g.","Sugar_Tot_.g.","Calcium_.mg.","Iron_.mg.","Magnesium_.mg.","Phosphorus_.mg.","Potassium_.mg.","Sodium_.mg.","Zinc_.mg.","Copper_mg.","Manganese_.mg.","Selenium_.µg.","Vit_C_.mg.","Thiamin_.mg.","Riboflavin_.mg.","Niacin_.mg.","Panto_Acid_mg.","Vit_B6_.mg.","Folate_Tot_.µg.","Folic_Acid_.µg.","Food_Folate_.µg.","Folate_DFE_.µg.","Choline_Tot_..mg.","Vit_B12_.µg.","Vit_A_IU","Vit_A_RAE","Retinol_.µg.","Alpha_Carot_.µg.","Beta_Carot_.µg.","Beta_Crypt_.µg.","Lycopene_.µg.","Lut.Zea_..µg.","Vit_E_.mg.","Vit_D_µg","Vit_D_IU","Vit_K_.µg.","FA_Sat_.g.","FA_Mono_.g.","FA_Poly_.g.","Cholestrl_.mg."
1007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,1.364,0.227,62,0,62,62,15.4,1.3,820,241,240,0,12,0,0,0,0.21,0.4,18,2,15.259,7.023,0.724,72
1019,"CHEESE,FETA",55.22,264,14.21,21.28,5.2,4.09,0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15,0,0.154,0.844,0.991,0.967,0.424,32,0,32,32,15.4,1.69,422,125,125,0,3,0,0,0,0.18,0.4,16,1.8,14.946,4.623,0.591,89
1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,3.15,3.25,0.67,4.8,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.07,1.3,51,0.3,1.865,0.812,0.195,10
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,51.368,21.021,3.043,215
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,1.62,2.87,0,0.06,23,0.05,1,24,41,583,0.05,0.01,0.001,0,0,0.007,0.064,0.022,0.097,0.008,4,0,4,4,18.8,0.07,2468,683,671,1,135,6,0,13,1.37,0,0,4.6,45.39,19.874,3.331,225
4053,"OIL,OLIVE,SALAD OR COOKING",0,884,0,100,0,0,0,0,1,0.56,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,14.35,0,0,60.2,13.808,72.961,10.523,0
14006,"ALCOHOLIC BEV,BEER,LT",94.88,29,0.24,0,0.09,1.64,0,0.09,4,0.03,5,12,21,4,0.01,0.006,0.006,0.4,0,0.005,0.015,0.391,0.03,0.034,6,0,6,6,8.8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,"ALCOHOLIC BEV,BEER,REG,ALL",91.96,43,0.46,0,0.16,3.55,0,0,4,0.02,6,14,27,4,0.01,0.005,0.008,0.6,0,0.005,0.025,0.513,0.041,0.046,6,0,6,6,10.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",62.1,263,0,0,0,0,0,0,0,0,0,0,0,2,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",66.6,231,0,0,0.01,0,0,0,0,0.12,0,5,2,1,0.07,0.05,0.018,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",86.49,85,0.07,0,0.28,2.61,0,0.62,8,0.46,12,23,127,4,0.14,0.011,0.132,0.2,0,0.005,0.031,0.224,0.03,0.057,1,0,1,1,5.7,0,2,0,0,0,1,0,0,6,0,0,0,0.4,0,0,0,0
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",86.86,82,0.07,0,0.2,2.6,0,0.96,9,0.27,10,18,71,5,0.12,0.004,0.117,0.1,0,0.005,0.015,0.108,0.045,0.05,1,0,1,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
14253,"ALCOHOLIC BEVERAGES,WINE,ROSE",86.4,83,0.36,0,0.16,3.8,0,3.8,10,0.2,10,18,59,5,0.11,0.005,0.131,0.2,0,0.02,0.015,0.09,0.148,0.037,1,0,1,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19334,"SUGARS,BROWN",1.34,380,0.12,0,0.45,98.09,0,97.02,83,0.71,9,4,133,28,0.03,0.047,0.064,1.2,0,0,0,0.11,0.132,0.041,1,0,1,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19336,"SUGARS,POWDERED",0.23,389,0,0,0.01,99.77,0,97.81,1,0.06,0,0,2,2,0.01,0.007,0.004,0.6,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
