NDB_No,Shrt_Desc,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.,,,,,,,,,,,
16040,"BEANS,PINK,MATURE SEEDS,RAW",10.06,343,20.96,1.13,3.66,64.19,12.7,2.14,130,6.77,182,415,1464,8,2.55,0.81,1.376,13,0,0.772,0.192,1.892,0.997,0.527,463,0,463,463,67.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.7,0.292,0.098,0.487,0,,,,,,,,,,,
16043,"BEANS,PINTO,MATURE SEEDS,CKD,BLD,WO/SALT",62.95,143,9.01,0.65,1.17,26.22,9,0.34,46,2.09,50,147,436,1,0.98,0.219,0.453,6.2,0.8,0.193,0.062,0.318,0.21,0.229,172,0,172,172,35.3,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.136,0.133,0.235,0,,,,,,,,,,,
16347,"BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS,LO NA",78.19,82,4.6,0.56,1.48,15.18,4.6,1.02,47,1.47,33,92,276,146,0.56,0.162,0.318,3.7,0.7,0.052,0.016,0.268,0.136,0.135,24,0,24,24,20.8,0,0,0,0,0,0,0,0,0,0.55,0,0,2.1,0.116,0.114,0.203,0,,,,,,,,,,,
16042,"BEANS,PINTO,MATURE SEEDS,RAW",11.33,347,21.42,1.23,3.46,62.55,15.5,2.11,113,5.07,176,411,1393,12,2.28,0.893,1.148,27.9,6.3,0.713,0.212,1.174,0.785,0.474,525,0,525,525,66.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.235,0.229,0.407,0,,,,,,,,,,,
11050,"BEANS,SHELLIE,CND,SOL & LIQUIDS",90.69,30,1.76,0.19,1.17,6.19,3.4,0.63,29,0.99,15,30,109,334,0.27,0.08,0.382,2.1,3.1,0.032,0.054,0.205,0.133,0.049,18,0,18,18,13.2,0,228,11,0,0,137,0,0,331,0.03,0,0,8,0.023,0.014,0.11,0,,,,,,,,,,,
11052,"BEANS,SNAP,GREEN,RAW",90.32,31,1.83,0.22,0.66,6.97,2.7,3.26,37,1.03,25,38,211,6,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33,0,33,33,15.3,0,690,35,0,69,379,0,0,640,0.41,0,0,43,0.05,0.01,0.113,0,,,,,,,,,,,
11723,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",89.22,35,1.89,0.28,0.73,7.88,3.2,3.63,44,0.65,18,29,146,239,0.25,0.057,0.285,0.2,9.7,0.074,0.097,0.614,0.074,0.056,33,0,33,33,16.9,0,691,35,0,70,380,0,0,641,0.46,0,0,47.9,0.064,0.011,0.145,0,,,,,,,,,,,
11053,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",89.22,35,1.89,0.28,0.73,7.88,3.2,3.63,44,0.65,18,29,146,1,0.25,0.057,0.285,0.2,9.7,0.074,0.097,0.614,0.074,0.056,33,0,33,33,16.9,0,633,32,0,0,380,0,0,641,0.46,0,0,47.9,0.064,0.011,0.145,0,,,,,,,,,,,
11729,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",93.38,22,1.12,0.46,0.73,4.32,1.9,0.78,38,1.06,13,20,96,2,0.2,0.034,0.163,0.4,2.8,0.016,0.046,0.206,0.2,0.03,28,0,28,28,14.7,0,353,18,0,156,122,24,0,452,0.03,0,0,38.9,0.103,0.019,0.234,0,,,,,,,,,,,
11056,"BEANS,SNAP,GRN,CND,REG PK,DRND SOL",93.38,22,1.12,0.46,0.73,4.32,1.9,0.78,38,1.06,13,20,96,230,0.2,0.034,0.163,0.4,2.8,0.016,0.046,0.206,0.2,0.03,28,0,28,28,14.7,0,353,18,0,156,122,24,0,452,0.03,0,0,38.9,0.103,0.019,0.234,0,,,,,,,,,,,
